,shot_x,shot_y,dut,r,c,cap,D,x,y,Voltage,Current
103,-3,1,POC22_Main_508_44,1,1,+3.56170E-11,+7.56500E-03,-1,191,100.00001325435056,3.2535978164432307e-12
104,-3,1,POC22_Main_508_47,1,1,+5.73075E-11,+9.08703E-03,-1,197,99.9999947129792,-7.842487222296456e-12
105,-3,1,POC22_Main_508_88F,1,1,+1.24017E-10,+1.49623E-02,-1,179,100.00001325435056,1.529002904490892e-11
106,-3,1,POC22_Main_762_77,1,1,+2.21552E-10,+3.59779E-02,-1,169,99.99998544229352,8.475026759250809e-11
107,-3,1,POC22_Main_762_99F,1,1,+3.59941E-10,+3.84863E-02,-1,163,99.99995763023644,6.744727080413008e-10
108,-3,2,POC22_Main_381_77F,1,1,+5.40249E-11,+9.69372E-03,-1,135,99.99998544229352,1.2092851999849116e-11
109,-3,2,POC22_Main_508_44,1,1,+3.59148E-11,+1.06386E-02,-1,155,100.00003179572194,-1.949651100028072e-12
110,-3,2,POC22_Main_508_47,1,1,+5.77001E-11,+1.39425E-02,-1,161,99.99996690092212,2.2624729324757837e-11
111,-3,2,POC22_Main_508_88F,1,1,+1.25125E-10,+1.76447E-02,-1,143,100.00002252503624,3.629109394873999e-11
112,-3,2,POC22_Main_762_77,1,1,+2.24051E-10,+2.70875E-02,-1,133,99.99996690092212,9.264917558618797e-11
113,-3,2,POC22_Main_762_99F,1,1,+3.60718E-10,+8.83575E-02,-1,127,100.00005033709331,4.6452474874896644e-10
114,-4,-1,POC22_Main_381_77F,1,1,+5.00202E-14,+5.60413E-03,-50,243,0.6525086018287374,1.000004190631009e-06
115,-4,-1,POC22_Main_508_44,1,1,+2.67603E-14,-1.23489E-02,-50,263,100.00000398366488,1.2907818697609004e-11
116,-4,-1,POC22_Main_508_47,1,1,+2.55897E-14,+2.28869E-02,-50,269,100.00001325435056,7.955328765063312e-12
117,-4,-1,POC22_Main_508_88F,1,1,+6.01552E-14,-3.17394E-04,-50,251,0.6537694150821798,9.999987993128543e-07
118,-4,-1,POC22_Main_762_77,1,1,-3.21941E-11,+1.92632E+01,-50,241,0.654195866623785,1.0000028741463432e-06
119,-4,-1,POC22_Main_762_99F,1,1,+3.35214E-10,+9.63787E-02,-50,235,99.99998544229352,6.433967740607684e-09
120,-4,0,POC22_Main_381_77F,1,1,+5.11038E-11,+7.66328E-03,-50,207,5.068284525553814,1.0000095819491634e-06
121,-4,0,POC22_Main_508_44,1,1,+3.47398E-11,+5.66694E-03,-50,227,100.00000398366488,-2.345223397171036e-11
122,-4,0,POC22_Main_508_47,1,1,+5.47294E-11,+6.73858E-03,-50,233,99.9999947129792,4.5130348132142566e-11
123,-4,0,POC22_Main_508_88F,1,1,+1.21100E-10,+7.99835E-03,-50,215,100.00000398366488,3.522536826705449e-11
124,-4,0,POC22_Main_762_77,1,1,+2.13260E-10,+1.07227E-02,-50,205,100.00000398366488,2.3909242219917776e-10
125,-4,0,POC22_Main_762_99F,1,1,-1.71629E-11,+2.57766E+01,-50,199,0.6526476621140436,9.999955394460634e-07
126,-4,1,POC22_Main_381_77F,1,1,+2.39961E-14,+1.43256E-02,-50,171,100.00001325435056,-3.197177045049877e-13
127,-4,1,POC22_Main_508_44,1,1,+5.57089E-14,+1.99779E-02,-50,191,0.6573757118144521,1.0000028114565974e-06
128,-4,1,POC22_Main_508_47,1,1,-2.52374E-11,+2.15154E+01,-50,197,0.6543998217089009,1.000000680005234e-06
129,-4,1,POC22_Main_508_88F,1,1,+2.62403E-14,+8.65497E-03,-50,179,99.99996690092212,-6.95856180393403e-13
130,-4,1,POC22_Main_762_77,1,1,+2.50352E-14,+1.49194E-02,-50,169,100.00000398366488,2.0624926427949272e-12
131,-4,1,POC22_Main_762_99F,1,1,+2.22999E-14,+4.88921E-02,-50,163,100.00001325435056,3.065528578500677e-12
132,0,-1,POC22_Main_381_77F,1,1,+5.40678E-11,+1.00879E-02,146,243,99.9999947129792,3.347005537957191e-11
133,0,-1,POC22_Main_508_44,1,1,+3.59100E-11,+8.85741E-03,146,263,99.9999947129792,7.014982575340619e-12
134,0,-1,POC22_Main_508_47,1,1,+5.78500E-11,+1.07115E-02,146,269,99.99997617160784,2.7520798485920098e-12
135,0,-1,POC22_Main_508_88F,1,1,+1.25086E-10,+2.19630E-02,146,251,99.9999947129792,9.459255771161644e-11
136,0,-1,POC22_Main_762_77,1,1,+2.22991E-10,+2.12705E-02,146,241,100.00001325435056,3.613681448388027e-09
137,0,-1,POC22_Main_762_99F,1,1,+3.62916E-10,+3.70926E-02,146,235,99.9999947129792,6.334309224523294e-08
