,shot_x,shot_y,dut,r,c,cap,D,Voltage,Current
247,0,1,POC22_Main_508_88F,1,2,1.32E-10,1.41E-02,100.0000225,1.18E-11
248,0,1,POC22_Main_508_88F,1,3,1.32E-10,1.40E-02,100.000004,-2.17E-11
249,0,1,POC22_Main_508_88F,1,4,1.32E-10,1.34E-02,100.0000225,1.15E-11
250,0,1,POC22_Main_762_77,1,1,2.25E-10,3.50E-02,100.000004,2.59E-09
251,0,1,POC22_Main_762_99F,1,1,3.66E-10,6.15E-02,99.99997617,2.91E-08
252,0,2,POC22_Main_381_77F,1,1,5.36E-11,8.99E-03,100.0000133,7.27E-12
253,0,2,POC22_Main_508_44,1,1,3.58E-11,8.01E-03,100.0000133,9.02E-12
254,0,2,POC22_Main_508_47,1,1,5.78E-11,1.12E-02,99.99999471,2.90E-11
255,0,2,POC22_Main_508_88F,1,1,1.32E-10,1.35E-02,100.000004,1.18E-12
256,0,2,POC22_Main_508_88F,1,2,1.32E-10,1.47E-02,99.99997617,2.49E-11
257,0,2,POC22_Main_508_88F,1,3,1.32E-10,1.45E-02,99.9999669,2.31E-11
258,0,2,POC22_Main_508_88F,1,4,1.32E-10,1.43E-02,100.0000133,6.85E-11
259,0,2,POC22_Main_762_77,1,1,2.22E-10,2.07E-02,100.0000133,3.04E-10
260,0,2,POC22_Main_762_99F,1,1,3.59E-10,3.48E-02,100.000004,3.27E-09
261,0,3,POC22_Main_381_77F,1,1,5.32E-11,8.26E-03,99.99999471,2.24E-11
262,0,3,POC22_Main_508_44,1,1,3.56E-11,7.45E-03,100.0000133,-1.13E-12
263,0,3,POC22_Main_508_47,1,1,5.74E-11,9.97E-03,100.0000133,5.13E-12
264,0,3,POC22_Main_508_88F,1,1,1.31E-10,1.34E-02,99.99995763,7.00E-11
265,0,3,POC22_Main_508_88F,1,2,1.31E-10,1.36E-02,99.99997617,1.08E-11
266,0,3,POC22_Main_508_88F,1,3,1.30E-10,1.37E-02,100.0000225,-2.08E-11
267,0,3,POC22_Main_508_88F,1,4,1.30E-10,1.43E-02,100.000004,1.34E-11
268,0,3,POC22_Main_762_77,1,1,2.20E-10,2.00E-02,100.0000225,3.23E-11
269,0,3,POC22_Main_762_99F,1,1,3.57E-10,2.39E-02,100.000004,1.73E-10
270,0,4,POC22_Main_381_77F,1,1,5.41E-11,7.56E-03,99.99997617,-2.70E-11
271,0,4,POC22_Main_508_44,1,1,3.57E-11,7.11E-03,100.0000318,2.39E-11
272,0,4,POC22_Main_508_47,1,1,5.74E-11,9.19E-03,99.99999471,4.63E-12
273,0,4,POC22_Main_508_88F,1,1,1.32E-10,1.42E-02,99.99998544,-1.69E-11
274,0,4,POC22_Main_508_88F,1,2,1.32E-10,1.40E-02,100.0000225,2.09E-11
275,0,4,POC22_Main_508_88F,1,3,1.32E-10,1.43E-02,99.99999471,5.73E-11
276,0,4,POC22_Main_508_88F,1,4,1.32E-10,1.41E-02,99.99998544,-1.94E-13
277,0,4,POC22_Main_762_77,1,1,2.24E-10,2.10E-02,100.0000318,-3.13E-11
278,0,4,POC22_Main_762_99F,1,1,-1.42E-10,9.40E+00,0.652415895,1.00E-06
279,1,-1,POC22_Main_381_77F,1,1,5.37E-11,1.08E-02,99.99998544,1.40E-11
280,1,-1,POC22_Main_508_44,1,1,3.59E-11,7.88E-03,100.0000133,-1.07E-11
281,1,-1,POC22_Main_508_47,1,1,5.77E-11,9.02E-03,99.99994836,3.82E-12
282,1,-1,POC22_Main_508_88F,1,1,1.32E-10,1.44E-02,99.99998544,5.60E-11
283,1,-1,POC22_Main_508_88F,1,2,1.32E-10,1.60E-02,100.000004,4.83E-10
284,1,-1,POC22_Main_508_88F,1,3,1.32E-10,1.57E-02,99.99999471,2.66E-10
285,1,-1,POC22_Main_508_88F,1,4,1.32E-10,1.65E-02,100.000004,4.39E-10
286,1,-1,POC22_Main_762_77,1,1,2.24E-10,2.61E-02,99.9999669,4.27E-09
287,1,-1,POC22_Main_762_99F,1,1,3.61E-10,5.42E-02,100.0000225,5.57E-08
288,1,-2,POC22_Main_381_77F,1,1,5.36E-11,1.40E-02,100.0000225,4.26E-12
289,1,-2,POC22_Main_508_44,1,1,3.57E-11,7.94E-03,100.000004,-1.44E-11
290,1,-2,POC22_Main_508_47,1,1,5.72E-11,1.07E-02,100.0000133,-3.29E-11
291,1,-2,POC22_Main_508_88F,1,1,1.31E-10,1.58E-02,100.0000133,1.43E-11
292,1,-2,POC22_Main_508_88F,1,2,1.31E-10,1.56E-02,99.99998544,2.88E-10
293,1,-2,POC22_Main_508_88F,1,3,1.31E-10,1.63E-02,100.000004,1.28E-10
294,1,-2,POC22_Main_508_88F,1,4,1.31E-10,1.48E-02,99.99998544,2.78E-10
295,1,-2,POC22_Main_762_77,1,1,2.22E-10,4.19E-02,100.000004,1.35E-09
296,1,-2,POC22_Main_762_99F,1,1,3.58E-10,4.73E-02,99.99994836,2.80E-08
297,1,-3,POC22_Main_381_77F,1,1,5.30E-11,1.39E-02,99.99999471,8.21E-12
