prefix,cap,D
0_-2_POC22_Main_381_77F_1_1,+5.38016E-11,+8.32549E-03
0_-2_POC22_Main_508_44_1_1,+3.58536E-11,+8.25304E-03
0_-2_POC22_Main_508_47_1_1,+5.74242E-11,+1.22499E-02
0_-2_POC22_Main_508_88F_1_1,+1.24890E-10,+2.11563E-02
0_-2_POC22_Main_762_77_1_1,+2.22609E-10,+2.19502E-02
0_-2_POC22_Main_762_99F_1_1,+3.59567E-10,+3.92494E-02
0_-3_POC22_Main_381_77F_1_1,+5.30198E-11,+7.60107E-03
0_-3_POC22_Main_508_44_1_1,+3.52095E-11,+6.20626E-03
0_-3_POC22_Main_508_47_1_1,+5.65524E-11,+7.92154E-03
0_-3_POC22_Main_508_88F_1_1,+1.22593E-10,+1.03560E-02
0_-3_POC22_Main_762_77_1_1,+2.19561E-10,+1.83018E-02
0_-3_POC22_Main_762_99F_1_1,+3.56524E-10,+2.12618E-02
0_-4_POC22_Main_381_77F_1_1,+5.26235E-11,+9.07486E-03
0_-4_POC22_Main_508_44_1_1,+3.55172E-11,+7.64860E-03
0_-4_POC22_Main_508_47_1_1,+5.72995E-11,+8.34856E-03
0_-4_POC22_Main_508_88F_1_1,+1.22814E-10,+1.61538E-02
0_-4_POC22_Main_762_77_1_1,+2.17674E-10,+2.29956E-02
0_-4_POC22_Main_762_99F_1_1,+3.51192E-10,+3.73385E-02
0_0_POC22_Main_381_77F_1_1,+5.35595E-11,+2.75131E-02
0_0_POC22_Main_508_44_1_1,+3.59927E-11,+7.76286E-03
0_0_POC22_Main_508_47_1_1,+5.80540E-11,+1.00246E-02
0_0_POC22_Main_508_88F_1_1,+1.23055E-10,+2.03450E-02
0_0_POC22_Main_762_77_1_1,+2.26236E-10,+2.39644E-02
0_0_POC22_Main_762_99F_1_1,+3.70054E-10,+3.28976E-02
0_1_POC22_Main_381_77F_1_1,+5.39577E-11,+9.16787E-03
0_1_POC22_Main_508_44_1_1,+3.59574E-11,+9.13629E-03
0_1_POC22_Main_508_47_1_1,+5.79681E-11,+9.92043E-03
0_1_POC22_Main_508_88F_1_1,+1.25802E-10,+2.46887E-02
0_1_POC22_Main_762_77_1_1,+2.25297E-10,+3.49763E-02
0_1_POC22_Main_762_99F_1_1,+3.66421E-10,+6.14796E-02
